"filename", "language", "JSON", "TypeScript", "TypeScript JSX", "comment", "blank", "total"
"f:\study\毕设\canvas\apps\design\app\Edit\page.tsx", "TypeScript JSX", 0, 0, 19, 2, 1, 22
"f:\study\毕设\canvas\apps\design\app\_components\EditComponents\NavBar.tsx", "TypeScript JSX", 0, 0, 19, 0, 0, 19
"f:\study\毕设\canvas\apps\design\app\_components\EditComponents\StokeWidth.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 1
"f:\study\毕设\canvas\apps\design\app\_components\EditComponents\Tools.tsx", "TypeScript JSX", 0, 0, 1, 0, 0, 1
"f:\study\毕设\canvas\apps\design\hook\useCanvas.ts", "TypeScript", 0, 0, 0, 2, -1, 1
"f:\study\毕设\canvas\apps\design\hook\useCliph.ts", "TypeScript", 0, 4, 0, 0, 0, 4
"f:\study\毕设\canvas\apps\design\hook\useKeyBoard.ts", "TypeScript", 0, 51, 0, 0, 2, 53
"f:\study\毕设\canvas\apps\design\package.json", "JSON", 1, 0, 0, 0, 0, 1
"f:\study\毕设\canvas\apps\design\store\editor.ts", "TypeScript", 0, 4, 0, 0, 0, 4
"Total", "-", 1, 59, 40, 4, 2, 106
