"filename", "language", "JSON", "Markdown", "YAML", "TypeScript", "JSON with Comments", "JavaScript", "TypeScript JSX", "CSS", "XML", "HTML", "comment", "blank", "total"
"f:\study\design\canvas\README.md", "Markdown", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"f:\study\design\canvas\apps\jebet\README.md", "Markdown", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 51
"f:\study\design\canvas\apps\jebet\components.json", "JSON", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20
"f:\study\design\canvas\apps\jebet\eslint.config.js", "JavaScript", 0, 0, 0, 0, 0, 28, 0, 0, 0, 0, 0, 2, 30
"f:\study\design\canvas\apps\jebet\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 1, 21
"f:\study\design\canvas\apps\jebet\package.json", "JSON", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 64
"f:\study\design\canvas\apps\jebet\postcss.config.js", "JavaScript", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"f:\study\design\canvas\apps\jebet\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"f:\study\design\canvas\apps\jebet\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"f:\study\design\canvas\apps\jebet\src\components\auth\SignInContain.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 3, 47
"f:\study\design\canvas\apps\jebet\src\components\command\Logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 21, 0, 0, 0, 0, 3, 24
"f:\study\design\canvas\apps\jebet\src\components\shadui\DottedSeparator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 44, 0, 0, 0, 0, 2, 46
"f:\study\design\canvas\apps\jebet\src\components\ui\accordion.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 7, 56
"f:\study\design\canvas\apps\jebet\src\components\ui\alert-dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 126, 0, 0, 0, 0, 14, 140
"f:\study\design\canvas\apps\jebet\src\components\ui\aspect-ratio.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"f:\study\design\canvas\apps\jebet\src\components\ui\avatar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 43, 0, 0, 0, 0, 6, 49
"f:\study\design\canvas\apps\jebet\src\components\ui\badge.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 31, 0, 0, 0, 0, 6, 37
"f:\study\design\canvas\apps\jebet\src\components\ui\breadcrumb.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 105, 0, 0, 0, 0, 11, 116
"f:\study\design\canvas\apps\jebet\src\components\ui\button.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 56, 0, 0, 0, 0, 6, 62
"f:\study\design\canvas\apps\jebet\src\components\ui\calendar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 66, 0, 0, 0, 0, 5, 71
"f:\study\design\canvas\apps\jebet\src\components\ui\card.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 9, 77
"f:\study\design\canvas\apps\jebet\src\components\ui\chart.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 326, 0, 0, 0, 2, 36, 364
"f:\study\design\canvas\apps\jebet\src\components\ui\checkbox.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 4, 29
"f:\study\design\canvas\apps\jebet\src\components\ui\dialog.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 13, 121
"f:\study\design\canvas\apps\jebet\src\components\ui\input-otp.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 62, 0, 0, 0, 0, 8, 70
"f:\study\design\canvas\apps\jebet\src\components\ui\input.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"f:\study\design\canvas\apps\jebet\src\components\ui\separator.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 26, 0, 0, 0, 0, 4, 30
"f:\study\design\canvas\apps\jebet\src\components\ui\sheet.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 125, 0, 0, 0, 0, 16, 141
"f:\study\design\canvas\apps\jebet\src\components\ui\sidebar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 696, 0, 0, 0, 12, 54, 762
"f:\study\design\canvas\apps\jebet\src\components\ui\skeleton.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 3, 16
"f:\study\design\canvas\apps\jebet\src\components\ui\tabs.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 7, 54
"f:\study\design\canvas\apps\jebet\src\components\ui\textarea.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 5, 25
"f:\study\design\canvas\apps\jebet\src\components\ui\tooltip.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 7, 31
"f:\study\design\canvas\apps\jebet\src\hooks\use-mobile.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 5, 20
"f:\study\design\canvas\apps\jebet\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 85, 0, 0, 0, 1, 86
"f:\study\design\canvas\apps\jebet\src\lib\utils.ts", "TypeScript", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 2, 7
"f:\study\design\canvas\apps\jebet\src\main.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 1, 3, 44
"f:\study\design\canvas\apps\jebet\src\page\auth\SignIn.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 2, 3, 51
"f:\study\design\canvas\apps\jebet\src\page\error\Index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 6
"f:\study\design\canvas\apps\jebet\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"f:\study\design\canvas\apps\jebet\tailwind.config.js", "JavaScript", 0, 0, 0, 0, 0, 89, 0, 0, 0, 0, 1, 1, 91
