Date : 2024-11-16 23:06:06
Directory : f:\study\design\canvas
Total : 239 files,  25705 codes, 396 comments, 4146 blanks, all 30247 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| YAML               |          2 |     13,065 |          0 |      3,269 |     16,334 |
| TypeScript JSX     |        107 |      7,694 |        128 |        554 |      8,376 |
| TypeScript         |         77 |      3,704 |        257 |        198 |      4,159 |
| JSON               |         16 |        455 |          4 |         13 |        472 |
| CSS                |          4 |        255 |          0 |         19 |        274 |
| JavaScript         |          5 |        139 |          2 |          8 |        149 |
| JSON with Comments |          8 |        127 |          5 |         12 |        144 |
| Markdown           |          6 |        121 |          0 |         56 |        177 |
| vue                |          4 |         68 |          0 |         14 |         82 |
| XML                |          8 |         44 |          0 |          1 |         45 |
| HTML               |          2 |         33 |          0 |          2 |         35 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                   | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                      |        239 |     25,705 |        396 |      4,146 |     30,247 |
| . (Files)                                                                              |          5 |     13,119 |          0 |      3,274 |     16,393 |
| .idea                                                                                  |          3 |         26 |          0 |          0 |         26 |
| apps                                                                                   |        219 |     12,348 |        393 |        845 |     13,586 |
| apps\api                                                                               |         30 |        774 |         47 |         58 |        879 |
| apps\api (Files)                                                                       |          5 |         95 |          0 |          4 |         99 |
| apps\api\api                                                                           |          1 |          6 |          0 |          2 |          8 |
| apps\api\src                                                                           |         24 |        673 |         47 |         52 |        772 |
| apps\api\src\hono                                                                      |          9 |        351 |          5 |         17 |        373 |
| apps\api\src\hono (Files)                                                              |          1 |         20 |          1 |          3 |         24 |
| apps\api\src\hono\board                                                                |          1 |          4 |          0 |          2 |          6 |
| apps\api\src\hono\design                                                               |          4 |        315 |          4 |          9 |        328 |
| apps\api\src\hono\design (Files)                                                       |          1 |          8 |          0 |          2 |         10 |
| apps\api\src\hono\design\route                                                         |          3 |        307 |          4 |          7 |        318 |
| apps\api\src\hono\form                                                                 |          1 |          4 |          0 |          1 |          5 |
| apps\api\src\hono\jebt                                                                 |          1 |          4 |          0 |          1 |          5 |
| apps\api\src\hono\vue                                                                  |          1 |          4 |          0 |          1 |          5 |
| apps\api\src\libs                                                                      |          4 |         70 |          7 |         13 |         90 |
| apps\api\src\libs (Files)                                                              |          1 |          2 |          0 |          1 |          3 |
| apps\api\src\libs\error                                                                |          1 |         16 |          6 |          5 |         27 |
| apps\api\src\libs\sign-in                                                              |          1 |         46 |          0 |          5 |         51 |
| apps\api\src\libs\unsplash                                                             |          1 |          6 |          1 |          2 |          9 |
| apps\api\src\server                                                                    |          9 |        221 |         35 |         17 |        273 |
| apps\api\src\server (Files)                                                            |          1 |          3 |          0 |          1 |          4 |
| apps\api\src\server\design                                                             |          3 |        203 |         35 |         10 |        248 |
| apps\api\src\server\design (Files)                                                     |          1 |          2 |          0 |          1 |          3 |
| apps\api\src\server\design\board                                                       |          1 |        127 |         33 |          6 |        166 |
| apps\api\src\server\design\sign                                                        |          1 |         74 |          2 |          3 |         79 |
| apps\api\src\server\jebt                                                               |          2 |          5 |          0 |          3 |          8 |
| apps\api\src\server\jebt (Files)                                                       |          1 |          1 |          0 |          1 |          2 |
| apps\api\src\server\jebt\auth                                                          |          1 |          4 |          0 |          2 |          6 |
| apps\api\src\server\supabase                                                           |          3 |         10 |          0 |          3 |         13 |
| apps\api\src\server\supabase (Files)                                                   |          1 |          2 |          0 |          1 |          3 |
| apps\api\src\server\supabase\design                                                    |          1 |          4 |          0 |          1 |          5 |
| apps\api\src\server\supabase\jebt                                                      |          1 |          4 |          0 |          1 |          5 |
| apps\api\src\types                                                                     |          2 |         31 |          0 |          5 |         36 |
| apps\api\src\types\design                                                              |          2 |         31 |          0 |          5 |         36 |
| apps\form                                                                              |         10 |        147 |          4 |         45 |        196 |
| apps\form (Files)                                                                      |          4 |         81 |          2 |         29 |        112 |
| apps\form\components                                                                   |          1 |          8 |          0 |          2 |         10 |
| apps\form\database                                                                     |          1 |          2 |          0 |          1 |          3 |
| apps\form\pages                                                                        |          2 |         24 |          0 |          6 |         30 |
| apps\form\plugins                                                                      |          1 |         29 |          2 |          6 |         37 |
| apps\form\server                                                                       |          1 |          3 |          0 |          1 |          4 |
| apps\jebet                                                                             |         50 |      2,787 |         27 |        288 |      3,102 |
| apps\jebet (Files)                                                                     |         13 |        345 |          5 |         25 |        375 |
| apps\jebet\public                                                                      |          1 |          1 |          0 |          0 |          1 |
| apps\jebet\src                                                                         |         36 |      2,441 |         22 |        263 |      2,726 |
| apps\jebet\src (Files)                                                                 |          3 |        143 |          2 |          5 |        150 |
| apps\jebet\src\assets                                                                  |          1 |          1 |          0 |          0 |          1 |
| apps\jebet\src\components                                                              |         24 |      2,148 |         14 |        236 |      2,398 |
| apps\jebet\src\components\auth                                                         |          1 |         44 |          0 |          3 |         47 |
| apps\jebet\src\components\command                                                      |          1 |         21 |          0 |          3 |         24 |
| apps\jebet\src\components\shadui                                                       |          1 |         44 |          0 |          2 |         46 |
| apps\jebet\src\components\ui                                                           |         21 |      2,039 |         14 |        228 |      2,281 |
| apps\jebet\src\hooks                                                                   |          2 |         35 |          4 |          8 |         47 |
| apps\jebet\src\lib                                                                     |          2 |         44 |          0 |          5 |         49 |
| apps\jebet\src\lib (Files)                                                             |          1 |          5 |          0 |          2 |          7 |
| apps\jebet\src\lib\sign                                                                |          1 |         39 |          0 |          3 |         42 |
| apps\jebet\src\page                                                                    |          2 |         52 |          2 |          5 |         59 |
| apps\jebet\src\page\auth                                                               |          1 |         48 |          2 |          3 |         53 |
| apps\jebet\src\page\error                                                              |          1 |          4 |          0 |          2 |          6 |
| apps\jebet\src\server                                                                  |          1 |          3 |          0 |          2 |          5 |
| apps\jebet\src\store                                                                   |          1 |         15 |          0 |          2 |         17 |
| apps\ljh-design                                                                        |        118 |      8,471 |        312 |        420 |      9,203 |
| apps\ljh-design (Files)                                                                |          8 |        236 |          2 |         12 |        250 |
| apps\ljh-design\app                                                                    |         18 |        464 |         14 |         38 |        516 |
| apps\ljh-design\app (Files)                                                            |          3 |        111 |          0 |          9 |        120 |
| apps\ljh-design\app\(pages)                                                            |         12 |        298 |          0 |         20 |        318 |
| apps\ljh-design\app\(pages)\board                                                      |          7 |        175 |          0 |         12 |        187 |
| apps\ljh-design\app\(pages)\board (Files)                                              |          2 |         63 |          0 |          4 |         67 |
| apps\ljh-design\app\(pages)\board\Edit                                                 |          2 |         52 |          0 |          4 |         56 |
| apps\ljh-design\app\(pages)\board\Edit\[Id]                                            |          2 |         52 |          0 |          4 |         56 |
| apps\ljh-design\app\(pages)\board\sign-in                                              |          2 |         49 |          0 |          3 |         52 |
| apps\ljh-design\app\(pages)\board\user                                                 |          1 |         11 |          0 |          1 |         12 |
| apps\ljh-design\app\(pages)\try                                                        |          5 |        123 |          0 |          8 |        131 |
| apps\ljh-design\app\(pages)\try\Edit                                                   |          2 |         52 |          0 |          4 |         56 |
| apps\ljh-design\app\(pages)\try\Edit\[id]                                              |          2 |         52 |          0 |          4 |         56 |
| apps\ljh-design\app\(pages)\try\board                                                  |          3 |         71 |          0 |          4 |         75 |
| apps\ljh-design\app\(pages)\try\board (Files)                                          |          2 |         63 |          0 |          3 |         66 |
| apps\ljh-design\app\(pages)\try\board\userData                                         |          1 |          8 |          0 |          1 |          9 |
| apps\ljh-design\app\_provide                                                           |          2 |         41 |         14 |          8 |         63 |
| apps\ljh-design\app\public                                                             |          1 |         14 |          0 |          1 |         15 |
| apps\ljh-design\components                                                             |         62 |      5,027 |         97 |        270 |      5,394 |
| apps\ljh-design\components\Board                                                       |         14 |      1,057 |         15 |         36 |      1,108 |
| apps\ljh-design\components\Comand                                                      |          2 |         84 |          2 |          7 |         93 |
| apps\ljh-design\components\EditComponents                                              |         22 |      2,392 |         63 |         75 |      2,530 |
| apps\ljh-design\components\Sign                                                        |          3 |        237 |          1 |          9 |        247 |
| apps\ljh-design\components\Try                                                         |          5 |        158 |          1 |         13 |        172 |
| apps\ljh-design\components\shadui-Components                                           |          1 |         40 |          3 |          2 |         45 |
| apps\ljh-design\components\ui                                                          |         15 |      1,059 |         12 |        128 |      1,199 |
| apps\ljh-design\database                                                               |          1 |          4 |          0 |          2 |          6 |
| apps\ljh-design\hook                                                                   |         14 |        829 |         93 |         47 |        969 |
| apps\ljh-design\hook (Files)                                                           |         11 |        446 |         38 |         34 |        518 |
| apps\ljh-design\hook\query                                                             |          3 |        383 |         55 |         13 |        451 |
| apps\ljh-design\lib                                                                    |          5 |        289 |         47 |         12 |        348 |
| apps\ljh-design\lib (Files)                                                            |          2 |        188 |         47 |          5 |        240 |
| apps\ljh-design\lib\font                                                               |          1 |         32 |          0 |          2 |         34 |
| apps\ljh-design\lib\sign                                                               |          1 |         39 |          0 |          3 |         42 |
| apps\ljh-design\lib\types                                                              |          1 |         30 |          0 |          2 |         32 |
| apps\ljh-design\server                                                                 |          3 |         35 |         14 |          4 |         53 |
| apps\ljh-design\server (Files)                                                         |          1 |          3 |          0 |          2 |          5 |
| apps\ljh-design\server\image                                                           |          1 |         27 |         14 |          1 |         42 |
| apps\ljh-design\server\supabase                                                        |          1 |          5 |          0 |          1 |          6 |
| apps\ljh-design\store                                                                  |          4 |        720 |         37 |         20 |        777 |
| apps\ljh-design\types                                                                  |          3 |        867 |          8 |         15 |        890 |
| apps\vue                                                                               |         11 |        169 |          3 |         34 |        206 |
| apps\vue (Files)                                                                       |          6 |        115 |          2 |         20 |        137 |
| apps\vue\server                                                                        |          1 |          3 |          0 |          2 |          5 |
| apps\vue\src                                                                           |          4 |         51 |          1 |         12 |         64 |
| package                                                                                |         12 |        212 |          3 |         27 |        242 |
| package\ui                                                                             |         12 |        212 |          3 |         27 |        242 |
| package\ui (Files)                                                                     |          5 |         72 |          2 |          7 |         81 |
| package\ui\lib                                                                         |          2 |         33 |          0 |          4 |         37 |
| package\ui\lib (Files)                                                                 |          1 |          9 |          0 |          1 |         10 |
| package\ui\lib\InitScroll                                                              |          1 |         24 |          0 |          3 |         27 |
| package\ui\public                                                                      |          1 |          1 |          0 |          0 |          1 |
| package\ui\src                                                                         |          4 |        106 |          1 |         16 |        123 |
+----------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                               | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| f:\study\design\canvas\.idea\canvas.iml                                                | XML                |         12 |          0 |          0 |         12 |
| f:\study\design\canvas\.idea\modules.xml                                               | XML                |          8 |          0 |          0 |          8 |
| f:\study\design\canvas\.idea\vcs.xml                                                   | XML                |          6 |          0 |          0 |          6 |
| f:\study\design\canvas\README.md                                                       | Markdown           |          4 |          0 |          3 |          7 |
| f:\study\design\canvas\apps\api\README.md                                              | Markdown           |          4 |          0 |          1 |          5 |
| f:\study\design\canvas\apps\api\api\index.ts                                           | TypeScript         |          6 |          0 |          2 |          8 |
| f:\study\design\canvas\apps\api\package.json                                           | JSON               |         48 |          0 |          1 |         49 |
| f:\study\design\canvas\apps\api\src\hono\board\index.ts                                | TypeScript         |          4 |          0 |          2 |          6 |
| f:\study\design\canvas\apps\api\src\hono\design\index.ts                               | TypeScript         |          8 |          0 |          2 |         10 |
| f:\study\design\canvas\apps\api\src\hono\design\route\board.ts                         | TypeScript         |        185 |          0 |          2 |        187 |
| f:\study\design\canvas\apps\api\src\hono\design\route\image.ts                         | TypeScript         |         36 |          1 |          3 |         40 |
| f:\study\design\canvas\apps\api\src\hono\design\route\user.ts                          | TypeScript         |         86 |          3 |          2 |         91 |
| f:\study\design\canvas\apps\api\src\hono\form\index.ts                                 | TypeScript         |          4 |          0 |          1 |          5 |
| f:\study\design\canvas\apps\api\src\hono\index.ts                                      | TypeScript         |         20 |          1 |          3 |         24 |
| f:\study\design\canvas\apps\api\src\hono\jebt\index.ts                                 | TypeScript         |          4 |          0 |          1 |          5 |
| f:\study\design\canvas\apps\api\src\hono\vue\index.ts                                  | TypeScript         |          4 |          0 |          1 |          5 |
| f:\study\design\canvas\apps\api\src\libs\error\index.ts                                | TypeScript         |         16 |          6 |          5 |         27 |
| f:\study\design\canvas\apps\api\src\libs\index.ts                                      | TypeScript         |          2 |          0 |          1 |          3 |
| f:\study\design\canvas\apps\api\src\libs\sign-in\index.ts                              | TypeScript         |         46 |          0 |          5 |         51 |
| f:\study\design\canvas\apps\api\src\libs\unsplash\index.ts                             | TypeScript         |          6 |          1 |          2 |          9 |
| f:\study\design\canvas\apps\api\src\server\design\board\index.ts                       | TypeScript         |        127 |         33 |          6 |        166 |
| f:\study\design\canvas\apps\api\src\server\design\index.ts                             | TypeScript         |          2 |          0 |          1 |          3 |
| f:\study\design\canvas\apps\api\src\server\design\sign\index.ts                        | TypeScript         |         74 |          2 |          3 |         79 |
| f:\study\design\canvas\apps\api\src\server\index.ts                                    | TypeScript         |          3 |          0 |          1 |          4 |
| f:\study\design\canvas\apps\api\src\server\jebt\auth\index.ts                          | TypeScript         |          4 |          0 |          2 |          6 |
| f:\study\design\canvas\apps\api\src\server\jebt\index.ts                               | TypeScript         |          1 |          0 |          1 |          2 |
| f:\study\design\canvas\apps\api\src\server\supabase\design\index.ts                    | TypeScript         |          4 |          0 |          1 |          5 |
| f:\study\design\canvas\apps\api\src\server\supabase\index.ts                           | TypeScript         |          2 |          0 |          1 |          3 |
| f:\study\design\canvas\apps\api\src\server\supabase\jebt\index.ts                      | TypeScript         |          4 |          0 |          1 |          5 |
| f:\study\design\canvas\apps\api\src\types\design\board.ts                              | TypeScript         |         14 |          0 |          2 |         16 |
| f:\study\design\canvas\apps\api\src\types\design\user.ts                               | TypeScript         |         17 |          0 |          3 |         20 |
| f:\study\design\canvas\apps\api\tsconfig.json                                          | JSON with Comments |         24 |          0 |          1 |         25 |
| f:\study\design\canvas\apps\api\vercel.json                                            | JSON               |          8 |          0 |          0 |          8 |
| f:\study\design\canvas\apps\api\vite.config.ts                                         | TypeScript         |         11 |          0 |          1 |         12 |
| f:\study\design\canvas\apps\form\README.md                                             | Markdown           |         50 |          0 |         26 |         76 |
| f:\study\design\canvas\apps\form\components\hellow.vue                                 | vue                |          8 |          0 |          2 |         10 |
| f:\study\design\canvas\apps\form\database\index.ts                                     | TypeScript         |          2 |          0 |          1 |          3 |
