"filename", "language", "JSON", "YAML", "JSON with Comments", "Markdown", "TypeScript", "CSS", "vue", "JavaScript", "TypeScript JSX", "XML", "HTML", "comment", "blank", "total"
"f:\study\design\canvas\.idea\canvas.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -12, 0, 0, 0, -12
"f:\study\design\canvas\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -8, 0, 0, 0, -8
"f:\study\design\canvas\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, -6, 0, 0, 0, -6
"f:\study\design\canvas\README.md", "Markdown", 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, -3, -7
"f:\study\design\canvas\apps\api\README.md", "Markdown", 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, 0, -1, -5
"f:\study\design\canvas\apps\api\api\index.ts", "TypeScript", 0, 0, 0, 0, -6, 0, 0, 0, 0, 0, 0, 0, -2, -8
"f:\study\design\canvas\apps\api\package.json", "JSON", -48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -49
"f:\study\design\canvas\apps\api\src\hono\board\index.ts", "TypeScript", 0, 0, 0, 0, -4, 0, 0, 0, 0, 0, 0, 0, -2, -6
"f:\study\design\canvas\apps\api\src\hono\design\index.ts", "TypeScript", 0, 0, 0, 0, -8, 0, 0, 0, 0, 0, 0, 0, -2, -10
"f:\study\design\canvas\apps\api\src\hono\design\route\board.ts", "TypeScript", 0, 0, 0, 0, -185, 0, 0, 0, 0, 0, 0, 0, -2, -187
"f:\study\design\canvas\apps\api\src\hono\design\route\image.ts", "TypeScript", 0, 0, 0, 0, -36, 0, 0, 0, 0, 0, 0, -1, -3, -40
"f:\study\design\canvas\apps\api\src\hono\design\route\user.ts", "TypeScript", 0, 0, 0, 0, -86, 0, 0, 0, 0, 0, 0, -3, -2, -91
