Date : 2024-11-16 23:06:58
Directory : f:\study\design\canvas\apps\ljh-design
Total : 121 files,  -17234 codes, -84 comments, -3726 blanks, all -21044 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| XML                |          7 |        -30 |          0 |          0 |        -30 |
| HTML               |          2 |        -33 |          0 |         -2 |        -35 |
| vue                |          4 |        -68 |          0 |        -14 |        -82 |
| JSON with Comments |          6 |        -87 |         -5 |        -10 |       -102 |
| Markdown           |          5 |       -117 |          0 |        -52 |       -169 |
| JavaScript         |          4 |       -133 |         -1 |         -6 |       -140 |
| CSS                |          3 |       -175 |          0 |        -14 |       -189 |
| JSON               |         14 |       -352 |         -4 |        -12 |       -368 |
| TypeScript         |         45 |       -877 |        -57 |        -95 |     -1,029 |
| TypeScript JSX     |         29 |     -2,297 |        -17 |       -252 |     -2,566 |
| YAML               |          2 |    -13,065 |          0 |     -3,269 |    -16,334 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                           |        121 |    -17,234 |        -84 |     -3,726 |    -21,044 |
| ..                                                                          |        121 |    -17,234 |        -84 |     -3,726 |    -21,044 |
| ..\..                                                                       |         20 |    -13,357 |         -3 |     -3,301 |    -16,661 |
| ..\.. (Files)                                                               |          5 |    -13,119 |          0 |     -3,274 |    -16,393 |
| ..\..\.idea                                                                 |          3 |        -26 |          0 |          0 |        -26 |
| ..\..\package                                                               |         12 |       -212 |         -3 |        -27 |       -242 |
| ..\..\package\ui                                                            |         12 |       -212 |         -3 |        -27 |       -242 |
| ..\..\package\ui (Files)                                                    |          5 |        -72 |         -2 |         -7 |        -81 |
| ..\..\package\ui\lib                                                        |          2 |        -33 |          0 |         -4 |        -37 |
| ..\..\package\ui\lib (Files)                                                |          1 |         -9 |          0 |         -1 |        -10 |
| ..\..\package\ui\lib\InitScroll                                             |          1 |        -24 |          0 |         -3 |        -27 |
| ..\..\package\ui\public                                                     |          1 |         -1 |          0 |          0 |         -1 |
| ..\..\package\ui\src                                                        |          4 |       -106 |         -1 |        -16 |       -123 |
| ..\api                                                                      |         30 |       -774 |        -47 |        -58 |       -879 |
| ..\api (Files)                                                              |          5 |        -95 |          0 |         -4 |        -99 |
| ..\api\api                                                                  |          1 |         -6 |          0 |         -2 |         -8 |
| ..\api\src                                                                  |         24 |       -673 |        -47 |        -52 |       -772 |
| ..\api\src\hono                                                             |          9 |       -351 |         -5 |        -17 |       -373 |
| ..\api\src\hono (Files)                                                     |          1 |        -20 |         -1 |         -3 |        -24 |
| ..\api\src\hono\board                                                       |          1 |         -4 |          0 |         -2 |         -6 |
| ..\api\src\hono\design                                                      |          4 |       -315 |         -4 |         -9 |       -328 |
| ..\api\src\hono\design (Files)                                              |          1 |         -8 |          0 |         -2 |        -10 |
| ..\api\src\hono\design\route                                                |          3 |       -307 |         -4 |         -7 |       -318 |
| ..\api\src\hono\form                                                        |          1 |         -4 |          0 |         -1 |         -5 |
| ..\api\src\hono\jebt                                                        |          1 |         -4 |          0 |         -1 |         -5 |
| ..\api\src\hono\vue                                                         |          1 |         -4 |          0 |         -1 |         -5 |
| ..\api\src\libs                                                             |          4 |        -70 |         -7 |        -13 |        -90 |
| ..\api\src\libs (Files)                                                     |          1 |         -2 |          0 |         -1 |         -3 |
| ..\api\src\libs\error                                                       |          1 |        -16 |         -6 |         -5 |        -27 |
| ..\api\src\libs\sign-in                                                     |          1 |        -46 |          0 |         -5 |        -51 |
| ..\api\src\libs\unsplash                                                    |          1 |         -6 |         -1 |         -2 |         -9 |
| ..\api\src\server                                                           |          9 |       -221 |        -35 |        -17 |       -273 |
| ..\api\src\server (Files)                                                   |          1 |         -3 |          0 |         -1 |         -4 |
| ..\api\src\server\design                                                    |          3 |       -203 |        -35 |        -10 |       -248 |
| ..\api\src\server\design (Files)                                            |          1 |         -2 |          0 |         -1 |         -3 |
| ..\api\src\server\design\board                                              |          1 |       -127 |        -33 |         -6 |       -166 |
| ..\api\src\server\design\sign                                               |          1 |        -74 |         -2 |         -3 |        -79 |
| ..\api\src\server\jebt                                                      |          2 |         -5 |          0 |         -3 |         -8 |
| ..\api\src\server\jebt (Files)                                              |          1 |         -1 |          0 |         -1 |         -2 |
| ..\api\src\server\jebt\auth                                                 |          1 |         -4 |          0 |         -2 |         -6 |
| ..\api\src\server\supabase                                                  |          3 |        -10 |          0 |         -3 |        -13 |
| ..\api\src\server\supabase (Files)                                          |          1 |         -2 |          0 |         -1 |         -3 |
| ..\api\src\server\supabase\design                                           |          1 |         -4 |          0 |         -1 |         -5 |
| ..\api\src\server\supabase\jebt                                             |          1 |         -4 |          0 |         -1 |         -5 |
| ..\api\src\types                                                            |          2 |        -31 |          0 |         -5 |        -36 |
| ..\api\src\types\design                                                     |          2 |        -31 |          0 |         -5 |        -36 |
| ..\form                                                                     |         10 |       -147 |         -4 |        -45 |       -196 |
| ..\form (Files)                                                             |          4 |        -81 |         -2 |        -29 |       -112 |
| ..\form\components                                                          |          1 |         -8 |          0 |         -2 |        -10 |
| ..\form\database                                                            |          1 |         -2 |          0 |         -1 |         -3 |
| ..\form\pages                                                               |          2 |        -24 |          0 |         -6 |        -30 |
| ..\form\plugins                                                             |          1 |        -29 |         -2 |         -6 |        -37 |
| ..\form\server                                                              |          1 |         -3 |          0 |         -1 |         -4 |
| ..\jebet                                                                    |         50 |     -2,787 |        -27 |       -288 |     -3,102 |
| ..\jebet (Files)                                                            |         13 |       -345 |         -5 |        -25 |       -375 |
| ..\jebet\public                                                             |          1 |         -1 |          0 |          0 |         -1 |
| ..\jebet\src                                                                |         36 |     -2,441 |        -22 |       -263 |     -2,726 |
| ..\jebet\src (Files)                                                        |          3 |       -143 |         -2 |         -5 |       -150 |
| ..\jebet\src\assets                                                         |          1 |         -1 |          0 |          0 |         -1 |
| ..\jebet\src\components                                                     |         24 |     -2,148 |        -14 |       -236 |     -2,398 |
| ..\jebet\src\components\auth                                                |          1 |        -44 |          0 |         -3 |        -47 |
| ..\jebet\src\components\command                                             |          1 |        -21 |          0 |         -3 |        -24 |
| ..\jebet\src\components\shadui                                              |          1 |        -44 |          0 |         -2 |        -46 |
| ..\jebet\src\components\ui                                                  |         21 |     -2,039 |        -14 |       -228 |     -2,281 |
| ..\jebet\src\hooks                                                          |          2 |        -35 |         -4 |         -8 |        -47 |
| ..\jebet\src\lib                                                            |          2 |        -44 |          0 |         -5 |        -49 |
| ..\jebet\src\lib (Files)                                                    |          1 |         -5 |          0 |         -2 |         -7 |
