"filename", "language", "TypeScript", "JSON with Comments", "Markdown", "JavaScript", "JSON", "TypeScript JSX", "XML", "CSS", "comment", "blank", "total"
"f:\study\design\canvas\apps\ljh-design\.eslintrc.json", "JSON with Comments", 0, 7, 0, 0, 0, 0, 0, 0, 0, 1, 8
"f:\study\design\canvas\apps\ljh-design\README.md", "Markdown", 0, 0, 4, 0, 0, 0, 0, 0, 0, 4, 8
"f:\study\design\canvas\apps\ljh-design\app\(pages)\board\Edit\[Id]\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"f:\study\design\canvas\apps\ljh-design\app\(pages)\board\Edit\[Id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 0, 2, 38
"f:\study\design\canvas\apps\ljh-design\app\(pages)\board\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 0, 2, 56
"f:\study\design\canvas\apps\ljh-design\app\(pages)\board\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 2, 11
"f:\study\design\canvas\apps\ljh-design\app\(pages)\board\sign-in\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 19, 0, 0, 0, 2, 21
"f:\study\design\canvas\apps\ljh-design\app\(pages)\board\sign-in\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 0, 1, 31
"f:\study\design\canvas\apps\ljh-design\app\(pages)\board\user\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"f:\study\design\canvas\apps\ljh-design\app\(pages)\try\Edit\[id]\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"f:\study\design\canvas\apps\ljh-design\app\(pages)\try\Edit\[id]\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 36, 0, 0, 0, 2, 38
"f:\study\design\canvas\apps\ljh-design\app\(pages)\try\board\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 54, 0, 0, 1, 2, 57
"f:\study\design\canvas\apps\ljh-design\app\(pages)\try\board\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"f:\study\design\canvas\apps\ljh-design\app\(pages)\try\board\userData\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 8, 0, 0, 0, 1, 9
"f:\study\design\canvas\apps\ljh-design\app\_provide\providers.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"f:\study\design\canvas\apps\ljh-design\app\_provide\query-provide.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 30, 0, 0, 14, 7, 51
"f:\study\design\canvas\apps\ljh-design\app\globals.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 80, 0, 5, 85
"f:\study\design\canvas\apps\ljh-design\app\layout.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"f:\study\design\canvas\apps\ljh-design\app\page.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 1, 15
"f:\study\design\canvas\apps\ljh-design\app\public\favicon.svg", "XML", 0, 0, 0, 0, 0, 0, 14, 0, 0, 1, 15
"f:\study\design\canvas\apps\ljh-design\components.json", "JSON", 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"f:\study\design\canvas\apps\ljh-design\components\Board\Board.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 6, 0, 0, 0, 2, 8
"f:\study\design\canvas\apps\ljh-design\components\Board\BoardCreate.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 90, 0, 0, 3, 3, 96
"f:\study\design\canvas\apps\ljh-design\components\Board\BoardCreateFrom.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 213, 0, 0, 1, 2, 216
"f:\study\design\canvas\apps\ljh-design\components\Board\BoardDelete.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 98, 0, 0, 3, 3, 104
"f:\study\design\canvas\apps\ljh-design\components\Board\BoardEdit.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 91, 0, 0, 3, 3, 97
"f:\study\design\canvas\apps\ljh-design\components\Board\BoardItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 104, 0, 0, 2, 2, 108
"f:\study\design\canvas\apps\ljh-design\components\Board\BoardMain.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 147, 0, 0, 1, 3, 151
"f:\study\design\canvas\apps\ljh-design\components\Board\ChangeUserData.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 188, 0, 0, 1, 3, 192
"f:\study\design\canvas\apps\ljh-design\components\Board\Navbar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 11, 0, 0, 0, 3, 14
"f:\study\design\canvas\apps\ljh-design\components\Board\SiderBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 14, 0, 0, 0, 3, 17
"f:\study\design\canvas\apps\ljh-design\components\Board\SiderBarItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 26, 0, 0, 0, 2, 28
