"filename", "language", "JSON", "Markdown", "XML", "YAML", "JSON with Comments", "JavaScript", "TypeScript", "CSS", "vue", "TypeScript JSX", "HTML", "comment", "blank", "total"
"f:\study\design\canvas\.idea\canvas.iml", "XML", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12
"f:\study\design\canvas\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"f:\study\design\canvas\.idea\material_theme_project_new.xml", "XML", 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10
"f:\study\design\canvas\.idea\modules.xml", "XML", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"f:\study\design\canvas\.idea\vcs.xml", "XML", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"f:\study\design\canvas\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4
"f:\study\design\canvas\apps\api\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"f:\study\design\canvas\apps\api\api\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"f:\study\design\canvas\apps\api\local.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 1, 2, 28
"f:\study\design\canvas\apps\api\package.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 55
"f:\study\design\canvas\apps\api\src\emails\design\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 3, 16
"f:\study\design\canvas\apps\api\src\emails\send.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 2, 4
"f:\study\design\canvas\apps\api\src\hono\board\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"f:\study\design\canvas\apps\api\src\hono\design\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
"f:\study\design\canvas\apps\api\src\hono\design\route\board.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 212, 0, 0, 0, 0, 0, 2, 214
"f:\study\design\canvas\apps\api\src\hono\design\route\image.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 3, 40
"f:\study\design\canvas\apps\api\src\hono\design\route\user.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 87, 0, 0, 0, 0, 2, 2, 91
"f:\study\design\canvas\apps\api\src\hono\email\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 3, 18
"f:\study\design\canvas\apps\api\src\hono\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 1, 2, 25
"f:\study\design\canvas\apps\api\src\hono\index.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 3, 3, 27
"f:\study\design\canvas\apps\api\src\hono\jebt\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"f:\study\design\canvas\apps\api\src\hono\jebt\route\board.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 145, 0, 0, 0, 0, 0, 2, 147
"f:\study\design\canvas\apps\api\src\hono\note\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 2, 5
"f:\study\design\canvas\apps\api\src\hono\note\route\editor.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"f:\study\design\canvas\apps\api\src\hono\vue\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"f:\study\design\canvas\apps\api\src\libs\error\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 26, 3, 48
"f:\study\design\canvas\apps\api\src\libs\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"f:\study\design\canvas\apps\api\src\libs\sign-in\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 0, 20, 5, 71
"f:\study\design\canvas\apps\api\src\libs\unsplash\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 2, 9
"f:\study\design\canvas\apps\api\src\libs\utils\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5, 2, 12
"f:\study\design\canvas\apps\api\src\server\design\board\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 142, 0, 0, 0, 0, 37, 6, 185
"f:\study\design\canvas\apps\api\src\server\design\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 3
"f:\study\design\canvas\apps\api\src\server\design\sign\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 74, 0, 0, 0, 0, 2, 3, 79
"f:\study\design\canvas\apps\api\src\server\jebt\board\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 213, 0, 0, 0, 0, 60, 12, 285
"f:\study\design\canvas\apps\api\src\server\jebt\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 2
"f:\study\design\canvas\apps\api\src\server\supabase\design\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"f:\study\design\canvas\apps\api\src\server\supabase\jebt\index.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"f:\study\design\canvas\apps\api\src\types\design\board.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 2, 16
"f:\study\design\canvas\apps\api\src\types\design\user.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 0, 0, 3, 20
"f:\study\design\canvas\apps\api\src\types\jebt\board.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"f:\study\design\canvas\apps\api\src\types\note\workspace.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 3, 21
"f:\study\design\canvas\apps\api\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 1, 26
"f:\study\design\canvas\apps\api\vercel.json", "JSON", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
"f:\study\design\canvas\apps\api\vite.config.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 2, 15
