"filename", "language", "JavaScript", "HTML", "JSON with Comments", "TypeScript", "TypeScript JSX", "JSON", "CSS", "Markdown", "XML", "comment", "blank", "total"
"f:\study\design\canvas\apps\jebet\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 40, 0, 0, 11, 51
"f:\study\design\canvas\apps\jebet\components.json", "JSON", 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 20
"f:\study\design\canvas\apps\jebet\eslint.config.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 30
"f:\study\design\canvas\apps\jebet\index.html", "HTML", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 1, 21
"f:\study\design\canvas\apps\jebet\package.json", "JSON", 0, 0, 0, 0, 0, 86, 0, 0, 0, 0, 1, 87
"f:\study\design\canvas\apps\jebet\postcss.config.js", "JavaScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
"f:\study\design\canvas\apps\jebet\public\vite.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"f:\study\design\canvas\apps\jebet\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"f:\study\design\canvas\apps\jebet\src\components\auth\SignInContain.tsx", "TypeScript JSX", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 3, 47
"f:\study\design\canvas\apps\jebet\src\components\board\DeleteCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 130, 0, 0, 0, 0, 0, 1, 131
"f:\study\design\canvas\apps\jebet\src\components\board\DrawerFromCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 4, 76
"f:\study\design\canvas\apps\jebet\src\components\board\FromCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 357, 0, 0, 0, 0, 13, 9, 379
"f:\study\design\canvas\apps\jebet\src\components\board\JoinCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 164, 0, 0, 0, 0, 0, 3, 167
"f:\study\design\canvas\apps\jebet\src\components\board\JoinWorkspaceCard.tsx", "TypeScript JSX", 0, 0, 0, 0, 135, 0, 0, 0, 0, 0, 4, 139
"f:\study\design\canvas\apps\jebet\src\components\board\MemberItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 280, 0, 0, 0, 0, 0, 6, 286
"f:\study\design\canvas\apps\jebet\src\components\board\MemberList.tsx", "TypeScript JSX", 0, 0, 0, 0, 48, 0, 0, 0, 0, 0, 4, 52
"f:\study\design\canvas\apps\jebet\src\components\board\ProjectList.tsx", "TypeScript JSX", 0, 0, 0, 0, 97, 0, 0, 0, 0, 0, 2, 99
"f:\study\design\canvas\apps\jebet\src\components\board\RefreshInviteCode.tsx", "TypeScript JSX", 0, 0, 0, 0, 131, 0, 0, 0, 0, 0, 3, 134
"f:\study\design\canvas\apps\jebet\src\components\board\SiderBar.tsx", "TypeScript JSX", 0, 0, 0, 0, 306, 0, 0, 0, 0, 4, 8, 318
"f:\study\design\canvas\apps\jebet\src\components\board\WorkspceSetting.tsx", "TypeScript JSX", 0, 0, 0, 0, 53, 0, 0, 0, 0, 0, 3, 56
"f:\study\design\canvas\apps\jebet\src\components\command\Logo.tsx", "TypeScript JSX", 0, 0, 0, 0, 21, 0, 0, 0, 0, 0, 3, 24
"f:\study\design\canvas\apps\jebet\src\components\command\Theme.tsx", "TypeScript JSX", 0, 0, 0, 0, 31, 0, 0, 0, 0, 3, 3, 37
"f:\study\design\canvas\apps\jebet\src\components\project\Kanban.tsx", "TypeScript JSX", 0, 0, 0, 0, 116, 0, 0, 0, 0, 0, 3, 119
"f:\study\design\canvas\apps\jebet\src\components\project\KanbanDraggable.tsx", "TypeScript JSX", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 3, 22
"f:\study\design\canvas\apps\jebet\src\components\project\KanbanDrop.tsx", "TypeScript JSX", 0, 0, 0, 0, 69, 0, 0, 0, 0, 7, 9, 85
"f:\study\design\canvas\apps\jebet\src\components\project\KanbanDroppable.tsx", "TypeScript JSX", 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 3, 25
"f:\study\design\canvas\apps\jebet\src\components\project\KanbanItem.tsx", "TypeScript JSX", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"f:\study\design\canvas\apps\jebet\src\components\project\ProjectContent.tsx", "TypeScript JSX", 0, 0, 0, 0, 308, 0, 0, 0, 0, 0, 3, 311
